loc,v(g),l,d,i,e,b,t,lOBlank,locCodeAndComment,uniq_Op,defects
1.1,1.4,1.3,1.3,1.3,1.3,1.3,1.3,2,2,1.2,False
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,True
72.0,7.0,0.05,20.31,55.85,23029.1,0.38,1279.39,8,1,17.0,True
190.0,3.0,0.06,17.06,254.87,74202.67,1.45,4122.37,28,2,17.0,True
37.0,4.0,0.06,17.19,34.86,10297.3,0.2,572.07,6,0,11.0,True
31.0,2.0,0.08,12.25,47.55,7135.87,0.19,396.44,5,0,14.0,True
78.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
8.0,1.0,0.36,2.8,18.11,142.01,0.02,7.89,1,0,4.0,True
24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
143.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
73.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
83.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
12.0,3.0,0.15,6.87,24.34,1150.68,0.06,63.93,2,0,11.0,True
48.0,4.0,0.06,17.35,40.1,12067.3,0.23,670.41,16,0,19.0,True
68.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
138.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
10.0,1.0,0.5,2.0,13.5,54.0,0.01,3.0,6,0,4.0,True
250.0,49.0,0.01,97.0,99.72,938311.06,3.22,52128.39,17,0,32.0,True
77.0,8.0,0.02,40.95,28.35,47536.38,0.39,2640.91,16,0,7.0,True
85.0,9.0,0.03,32.64,52.53,55961.02,0.57,3108.95,14,0,26.0,True
110.0,17.0,0.03,33.41,61.94,69127.22,0.69,3840.4,14,0,27.0,True
49.0,6.0,0.04,25.33,36.63,23506.58,0.31,1305.92,13,0,19.0,True
187.0,35.0,0.02,42.56,77.45,140300.03,1.1,7794.45,16,0,21.0,True
27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
38.0,8.0,0.05,20.53,32.8,13824.9,0.22,768.05,7,0,9.0,True
294.0,43.0,0.02,40.88,142.15,237606.8,1.94,13200.38,26,2,28.0,True
29.0,3.0,0.08,12.04,38.63,5599.99,0.16,311.11,6,0,14.0,True
160.0,5.0,0.03,33.11,146.86,160969.13,1.62,8942.73,23,1,22.0,True
94.0,16.0,0.03,34.52,35.83,42683.63,0.41,2371.31,6,1,22.0,True
48.0,3.0,0.08,13.09,70.84,12140.27,0.31,674.46,9,0,16.0,True
14.0,2.0,0.19,5.2,24.86,672.19,0.04,37.34,3,0,8.0,True
32.0,6.0,0.06,16.67,35.7,9916.61,0.2,550.92,4,0,14.0,True
11.0,1.0,0.5,2.0,13.5,54.0,0.01,3.0,6,0,4.0,True
20.0,3.0,0.11,9.0,13.11,1062.25,0.04,59.01,0,0,9.0,True
39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
63.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
78.0,6.0,0.04,28.21,38.01,30254.54,0.36,1680.81,19,6,20.0,True
209.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
6.0,2.0,0.17,6.0,13.67,492.27,0.03,27.35,0,0,10.0,True
44.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
24.0,3.0,0.06,16.71,13.45,3756.37,0.07,208.69,4,0,13.0,True
23.0,2.0,0.17,6.0,38.97,1403.0,0.08,77.94,2,0,9.0,True
69.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
148.0,19.0,0.03,34.67,93.0,111762.93,1.07,6209.05,16,1,19.0,True
83.0,20.0,0.03,33.19,39.19,43166.62,0.43,2398.15,12,0,25.0,True
53.0,4.0,0.07,14.86,36.3,8012.03,0.18,445.11,8,0,13.0,True
97.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
25.0,2.0,0.15,6.46,54.98,2292.07,0.12,127.34,0,0,9.0,True
466.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
110.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
113.0,19.0,0.02,45.4,70.04,144343.07,1.06,8019.06,12,0,26.0,True
119.0,9.0,0.04,24.96,74.63,46500.6,0.62,2583.37,15,2,21.0,True
15.0,3.0,0.11,9.0,23.94,1939.44,0.07,107.75,2,1,12.0,True
44.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
124.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
8.0,1.0,0.34,2.92,17.79,151.35,0.02,8.41,2,0,5.0,True
8.0,1.0,0.34,2.92,17.79,151.35,0.02,8.41,2,0,5.0,True
162.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
113.0,27.0,0.02,41.45,68.26,117259.19,0.94,6514.4,9,5,25.0,True
8.0,1.0,0.34,2.92,17.79,151.35,0.02,8.41,2,0,5.0,True
8.0,1.0,0.33,3.0,15.5,139.52,0.02,7.75,2,0,5.0,True
9.0,2.0,0.24,4.08,15.41,256.87,0.02,14.27,1,0,7.0,True
179.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
171.0,16.0,0.03,34.25,123.53,144911.31,1.41,8050.63,24,22,19.0,True
77.0,15.0,0.06,18.04,91.8,29873.71,0.55,1659.65,9,0,16.0,True
8.0,1.0,0.34,2.92,17.79,151.35,0.02,8.41,2,0,5.0,True
12.0,4.0,0.13,8.0,22.92,1467.19,0.06,81.51,2,0,12.0,True
42.0,9.0,0.07,14.88,47.63,10538.49,0.24,585.47,6,0,17.0,True
14.0,1.0,0.22,4.59,75.63,1592.09,0.12,88.45,0,0,4.0,True
19.0,5.0,0.05,21.0,12.76,5627.15,0.09,312.62,2,0,12.0,True
88.0,8.0,0.03,33.25,41.29,45651.03,0.46,2536.17,12,3,21.0,True
13.0,2.0,0.24,4.24,55.47,995.75,0.08,55.32,1,0,7.0,True
46.0,4.0,0.08,11.92,33.26,4723.0,0.13,262.39,14,0,13.0,True
129.0,30.0,0.02,46.42,55.65,119927.45,0.86,6662.64,14,1,34.0,True
20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
22.0,1.0,0.08,12.06,42.19,6135.2,0.17,340.84,4,0,10.0,True
32.0,2.0,0.08,12.2,69.81,10396.13,0.28,577.56,4,0,11.0,True
13.0,1.0,0.07,14.4,11.9,2467.17,0.06,137.06,2,0,9.0,True
12.0,3.0,0.12,8.33,10.56,733.33,0.03,40.74,1,0,10.0,True
6.0,1.0,0.32,3.12,11.16,108.97,0.01,6.05,1,0,5.0,True
17.0,3.0,0.13,7.43,14.73,812.63,0.04,45.15,1,0,8.0,True
5.0,1.0,0.24,4.2,12.8,225.85,0.02,12.55,0,0,7.0,True
227.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
68.0,5.0,0.03,32.04,53.85,55302.55,0.58,3072.36,8,0,15.0,True
37.0,4.0,0.1,10.15,36.59,3769.56,0.12,209.42,6,0,14.0,True
106.0,12.0,0.03,34.94,50.35,61473.97,0.59,3415.22,10,1,25.0,True
18.0,1.0,0.3,3.3,21.82,237.6,0.02,13.2,2,0,6.0,True
100.0,11.0,0.04,28.25,57.92,46222.9,0.55,2567.94,17,0,20.0,True
99.0,14.0,0.04,26.16,68.92,47150.8,0.6,2619.49,10,0,27.0,True
53.0,6.0,0.03,30.23,31.19,28502.18,0.31,1583.45,10,2,19.0,True
4.0,1.0,0.5,2.0,15.0,60.0,0.01,3.33,0,0,4.0,True
4.0,1.0,0.5,2.0,15.0,60.0,0.01,3.33,0,0,4.0,True
4.0,1.0,0.5,2.0,15.0,60.0,0.01,3.33,0,0,4.0,True
4.0,1.0,0.5,2.0,15.0,60.0,0.01,3.33,0,0,4.0,True
4.0,1.0,0.5,2.0,15.0,60.0,0.01,3.33,0,0,4.0,True
50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
14.0,3.0,0.13,8.0,10.26,656.36,0.03,36.46,3,0,10.0,True
11.0,2.0,0.11,9.17,13.09,1100.0,0.04,61.11,1,0,10.0,True
174.0,15.0,0.04,24.66,122.46,74486.0,1.01,4138.1,37,0,21.0,True
33.0,4.0,0.09,10.71,45.31,5201.91,0.16,288.99,2,0,10.0,True
4.0,1.0,0.4,2.5,9.6,60.0,0.01,3.33,0,0,5.0,True
13.0,2.0,0.13,7.8,30.26,1840.8,0.08,102.27,2,0,6.0,True
135.0,11.0,0.05,18.58,124.77,43059.58,0.77,2392.2,24,3,18.0,True
49.0,6.0,0.04,23.76,32.03,18080.85,0.25,1004.49,9,0,22.0,True
45.0,6.0,0.04,27.36,46.38,34716.98,0.42,1928.72,2,0,17.0,True
65.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
40.0,5.0,0.04,23.38,30.96,16913.84,0.24,939.66,5,0,22.0,True
59.0,7.0,0.05,20.64,52.77,22476.1,0.36,1248.67,8,2,19.0,True
31.0,4.0,0.05,20.5,28.15,11828.05,0.19,657.11,6,0,21.0,True
45.0,9.0,0.03,28.97,37.8,31713.43,0.36,1761.86,5,0,20.0,True
31.0,6.0,0.07,14.86,22.79,5030.26,0.11,279.46,5,0,16.0,True
28.0,2.0,0.07,15.27,22.21,5181.53,0.11,287.86,1,0,12.0,True
49.0,3.0,0.05,20.86,30.65,13343.0,0.21,741.28,4,8,17.0,True
30.0,5.0,0.05,21.0,26.0,11464.81,0.18,636.93,5,1,22.0,True
146.0,15.0,0.02,43.15,61.62,114716.17,0.89,6373.12,13,12,27.0,True
127.0,16.0,0.02,42.0,72.43,127774.61,1.01,7098.59,11,8,28.0,True
85.0,18.0,0.02,43.89,47.48,91475.26,0.69,5081.96,11,0,24.0,True
28.0,5.0,0.05,20.0,26.42,10568.94,0.18,587.16,5,0,21.0,True
21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
127.0,23.0,0.03,36.58,56.89,76123.38,0.69,4229.08,8,0,30.0,True
45.0,12.0,0.04,28.44,28.62,23153.61,0.27,1286.31,8,0,16.0,True
31.0,3.0,0.09,10.86,40.42,4764.79,0.15,264.71,5,0,12.0,True
11.0,3.0,0.09,11.69,14.17,1936.26,0.06,107.57,0,0,11.0,True
28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
61.0,8.0,0.04,24.55,18.96,11422.07,0.16,634.56,8,0,15.0,True
12.0,2.0,0.24,4.08,14.5,241.76,0.02,13.43,3,0,7.0,True
20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
28.0,3.0,0.08,12.32,40.76,6186.03,0.17,343.67,6,0,14.0,True
55.0,4.0,0.03,32.0,10.32,10567.04,0.11,587.06,31,0,16.0,True
38.0,6.0,0.04,23.33,14.54,7916.23,0.11,439.79,19,3,14.0,True
14.0,10.0,0.02,43.2,9.18,17128.1,0.13,951.56,0,0,12.0,True
142.0,11.0,0.03,37.14,17.53,24187.25,0.22,1343.74,26,4,20.0,True
29.0,3.0,0.08,12.32,40.76,6186.03,0.17,343.67,6,0,14.0,True
15.0,2.0,0.19,5.25,13.39,369.12,0.02,20.51,2,0,7.0,True
54.0,5.0,0.03,33.23,17.29,19097.28,0.19,1060.96,14,0,18.0,True
105.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
29.0,3.0,0.14,6.9,34.55,1645.08,0.08,91.39,5,0,9.0,True
15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
24.0,4.0,0.18,5.63,39.63,1253.84,0.07,69.66,2,0,9.0,True
25.0,4.0,0.18,5.56,42.28,1306.45,0.08,72.58,2,0,9.0,True
88.0,14.0,0.02,50.45,43.92,111794.23,0.74,6210.79,2,0,26.0,True
116.0,13.0,0.04,22.9,83.4,43717.5,0.64,2428.75,11,0,26.0,True
71.0,5.0,0.06,16.07,83.25,21503.57,0.45,1194.64,11,0,15.0,True
49.0,4.0,0.05,18.84,58.25,20667.93,0.37,1148.22,9,0,11.177591911764706,True
87.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
19.0,2.0,0.12,8.64,21.87,1631.15,0.06,90.62,4,0,10.0,True
99.0,9.0,0.03,29.02,54.34,45774.99,0.53,2543.06,12,2,24.0,True
84.0,8.0,0.04,27.06,44.19,32355.38,0.4,1797.52,11,2,23.0,True
77.0,10.0,0.03,30.81,47.37,44979.31,0.49,2498.85,8,0,16.0,True
139.0,20.0,0.02,64.31,32.04,132580.53,0.69,7365.58,26,6,28.0,True
37.0,5.0,0.05,18.57,38.84,13396.47,0.24,744.25,6,1,12.0,True
29.0,3.0,0.09,11.63,41.7,5641.32,0.16,313.41,6,1,13.0,True
20.0,3.0,0.11,9.33,19.29,1680.79,0.06,93.38,4,0,12.0,True
31.0,3.0,0.09,11.76,45.42,6283.02,0.18,349.06,6,1,13.0,True
34.0,5.0,0.05,22.0,19.44,9410.28,0.14,522.78,13,2,13.0,True
62.0,6.0,0.05,18.29,52.16,17443.19,0.32,969.07,9,0,17.0,True
132.0,31.0,0.01,91.2,83.15,691554.81,2.53,38419.71,8,0,27.0,True
18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
68.0,4.0,0.1,9.9,79.97,7845.03,0.26,435.83,13,0,13.0,True
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,True
22.0,1.0,0.24,4.2,26.28,463.52,0.04,25.75,6,4,7.0,True
10.0,2.0,0.22,4.5,17.36,351.62,0.03,19.53,1,0,9.0,True
76.0,8.0,0.05,20.0,39.38,15750.5,0.26,875.03,8,4,15.0,True
20.0,2.0,0.11,9.25,46.95,4017.03,0.14,223.17,4,0,12.0,True
20.0,2.0,0.1,9.65,44.64,4158.72,0.14,231.04,4,0,12.0,True
31.0,6.0,0.05,20.45,17.46,7307.05,0.12,405.95,7,5,15.0,True
89.0,21.0,0.03,34.5,27.98,33300.26,0.32,1850.01,19,0,23.0,True
81.0,9.0,0.03,30.86,37.43,35639.87,0.38,1979.99,16,1,25.0,True
30.0,2.0,0.08,13.33,32.54,5784.24,0.14,321.35,2,1,15.0,True
47.0,11.0,0.03,31.05,24.99,24093.43,0.26,1338.52,8,0,23.0,True
191.0,27.0,0.02,60.15,59.0,213471.74,1.18,11859.54,8,0,22.0,True
36.0,7.0,0.06,15.6,23.28,5665.86,0.12,314.77,6,0,18.0,True
43.0,12.0,0.07,14.57,23.8,5053.28,0.12,280.74,8,0,17.0,True
219.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
8.0,1.0,0.21,4.8,13.11,301.96,0.02,16.78,1,0,8.0,True
14.0,3.0,0.11,8.79,31.25,2416.5,0.09,134.25,4,0,13.0,True
24.0,2.0,0.05,18.33,19.26,6472.44,0.12,359.58,5,0,15.0,True
24.0,2.0,0.04,22.4,18.68,9370.8,0.14,520.6,5,0,16.0,True
26.0,2.0,0.06,17.82,23.2,7364.31,0.14,409.13,5,0,14.0,True
70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
25.0,4.0,0.05,19.5,29.87,11359.14,0.19,631.06,4,0,19.0,True
36.0,2.0,0.08,13.33,33.6,5973.51,0.15,331.86,9,0,16.0,True
29.0,4.0,0.08,12.4,43.19,6645.43,0.18,369.19,3,0,15.0,True
28.0,7.0,0.11,9.39,32.72,2883.89,0.1,160.22,3,0,13.0,True
6.0,1.0,0.5,2.0,21.59,86.37,0.01,4.8,1,0,4.0,True
40.0,5.0,0.05,20.0,35.59,14235.72,0.24,790.87,5,0,20.0,True
45.0,8.0,0.04,27.33,22.69,16950.73,0.21,941.71,4,0,16.0,True
45.0,7.0,0.04,24.67,23.58,14348.35,0.19,797.13,5,0,16.0,True
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,True
160.0,18.0,0.02,51.33,22.39,59009.54,0.38,3278.31,73,3,22.0,True
27.0,4.0,0.06,17.6,23.08,7149.9,0.14,397.22,7,0,16.0,True
121.0,22.0,0.04,23.91,86.26,49298.55,0.69,2738.81,5,7,15.0,True
12.0,2.0,0.18,5.6,11.23,352.28,0.02,19.57,3,0,8.0,True
26.0,2.0,0.26,3.86,21.11,314.01,0.03,17.44,11,0,6.0,True
25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
34.0,9.0,0.06,17.0,31.75,9175.89,0.18,509.77,4,0,15.0,True
33.0,9.0,0.05,22.22,24.32,12011.92,0.18,667.33,3,0,20.0,True
145.0,10.0,0.02,41.31,56.87,97048.2,0.78,5391.57,17,0,26.0,True
5.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,True
28.0,7.0,0.07,13.46,19.49,3530.54,0.09,196.14,2,0,17.0,True
46.0,8.0,0.05,19.95,29.0,11543.38,0.19,641.3,5,5,21.0,True
41.0,10.0,0.03,28.72,22.23,18342.91,0.21,1019.05,5,0,22.0,True
85.0,18.0,0.03,28.75,48.7,40251.99,0.47,2236.22,9,0,23.0,True
60.0,16.0,0.02,48.03,20.94,48310.12,0.34,2683.9,11,3,23.0,True
31.0,7.0,0.04,22.5,27.42,13880.6,0.21,771.14,1,0,22.0,True
39.0,8.0,0.04,26.0,27.41,18526.03,0.24,1029.22,3,0,23.0,True
27.0,6.0,0.05,18.95,26.22,9413.58,0.17,522.98,2,0,20.0,True
62.0,16.0,0.03,39.72,31.07,49004.57,0.41,2722.48,6,5,21.0,True
138.0,35.0,0.02,51.27,62.26,163640.68,1.06,9091.15,21,0,26.0,True
30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True
