b,lOCode,e,v,n,i,t,loc,d,v(g),defects
1.3,2,1.3,1.3,1.3,1.3,1.3,1.1,1.3,1.4,False
1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
0.38,51,23029.1,1134.13,198.0,55.85,1279.39,72.0,20.31,7.0,True
1.45,129,74202.67,4348.76,600.0,254.87,4122.37,190.0,17.06,3.0,True
0.2,28,10297.3,599.12,126.0,34.86,572.07,37.0,17.19,4.0,True
0.19,19,7135.87,582.52,111.0,47.55,396.44,31.0,12.25,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,9.0,True
0.02,5,142.01,50.72,16.0,18.11,7.89,8.0,2.8,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,22.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,10.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,11.0,True
0.06,8,1150.68,167.37,37.0,24.34,63.93,12.0,6.87,3.0,True
0.23,29,12067.3,695.61,129.0,40.1,670.41,48.0,17.35,4.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,8.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,22.0,True
0.01,2,54.0,27.0,9.0,13.5,3.0,10.0,2.0,1.0,True
3.22,139,938311.06,9673.31,1469.0,99.72,52128.39,250.0,97.0,49.0,True
0.39,59,47536.38,1160.84,284.0,28.35,2640.91,77.0,40.95,8.0,True
0.57,69,55961.02,1714.58,277.0,52.53,3108.95,85.0,32.64,9.0,True
0.69,81,69127.22,2069.26,322.0,61.94,3840.4,110.0,33.41,17.0,True
0.31,34,23506.58,927.89,171.0,36.63,1305.92,49.0,25.33,6.0,True
1.1,164,140300.03,3296.33,526.0,77.45,7794.45,187.0,42.56,35.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,6.0,True
0.22,29,13824.9,673.36,145.0,32.8,768.05,38.0,20.53,8.0,True
1.94,223,237606.8,5811.59,814.0,142.15,13200.38,294.0,40.88,43.0,True
0.16,21,5599.99,465.12,88.0,38.63,311.11,29.0,12.04,3.0,True
1.62,123,160969.13,4862.12,698.0,146.86,8942.73,160.0,33.11,5.0,True
0.41,66,42683.63,1236.59,218.0,35.83,2371.31,94.0,34.52,16.0,True
0.31,34,12140.27,927.38,157.0,70.84,674.46,48.0,13.09,3.0,True
0.04,8,672.19,129.27,31.0,24.86,37.34,14.0,5.2,2.0,True
0.2,26,9916.61,595.0,116.0,35.7,550.92,32.0,16.67,6.0,True
0.01,2,54.0,27.0,9.0,13.5,3.0,11.0,2.0,1.0,True
0.04,13,1062.25,118.03,31.0,13.11,59.01,20.0,9.0,3.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,21.0,True
0.36,45,30254.54,1072.31,192.0,38.01,1680.81,78.0,28.21,6.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,26.0,True
0.03,4,492.27,82.04,21.0,13.67,27.35,6.0,6.0,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,13.0,True
0.07,18,3756.37,224.74,52.0,13.45,208.69,24.0,16.71,3.0,True
0.08,19,1403.0,233.83,51.0,38.97,77.94,23.0,6.0,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,6.0,True
1.07,118,111762.93,3223.93,516.0,93.0,6209.05,148.0,34.67,19.0,True
0.43,62,43166.62,1300.6,226.0,39.19,2398.15,83.0,33.19,20.0,True
0.18,36,8012.03,539.27,106.0,36.3,445.11,53.0,14.86,4.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,15.0,True
0.12,20,2292.07,355.0,71.0,54.98,127.34,25.0,6.46,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,110.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,27.0,True
1.06,92,144343.07,3179.59,491.0,70.04,8019.06,113.0,45.4,19.0,True
0.62,79,46500.6,1862.84,300.0,74.63,2583.37,119.0,24.96,9.0,True
0.07,10,1939.44,215.49,47.0,23.94,107.75,15.0,9.0,3.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,10.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,55.0,True
0.02,4,151.35,51.89,15.0,17.79,8.41,8.0,2.92,1.0,True
0.02,4,151.35,51.89,15.0,17.79,8.41,8.0,2.92,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,27.0,True
0.94,97,117259.19,2829.11,445.0,68.26,6514.4,113.0,41.45,27.0,True
0.02,4,151.35,51.89,15.0,17.79,8.41,8.0,2.92,1.0,True
0.02,4,139.52,46.51,14.0,15.5,7.75,8.0,3.0,1.0,True
0.02,6,256.87,62.91,17.0,15.41,14.27,9.0,4.08,2.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,36.0,True
1.41,115,144911.31,4230.99,644.0,123.53,8050.63,171.0,34.25,16.0,True
0.55,62,29873.71,1656.04,273.0,91.8,1659.65,77.0,18.04,15.0,True
0.02,4,151.35,51.89,15.0,17.79,8.41,8.0,2.92,1.0,True
0.06,8,1467.19,183.4,40.0,22.92,81.51,12.0,8.0,4.0,True
0.24,28,10538.49,708.47,135.0,47.63,585.47,42.0,14.88,9.0,True
0.12,12,1592.09,346.99,79.0,75.63,88.45,14.0,4.59,1.0,True
0.09,15,5627.15,267.96,62.0,12.76,312.62,19.0,21.0,5.0,True
0.46,52,45651.03,1372.96,250.0,41.29,2536.17,88.0,33.25,8.0,True
0.08,10,995.75,235.02,50.0,55.47,55.32,13.0,4.24,2.0,True
0.13,28,4723.0,396.34,80.0,33.26,262.39,46.0,11.92,4.0,True
0.86,111,119927.45,2583.36,402.0,55.65,6662.64,129.0,46.42,30.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,True
0.17,16,6135.2,508.77,107.0,42.19,340.84,22.0,12.06,1.0,True
0.28,23,10396.13,851.92,157.0,69.81,577.56,32.0,12.2,2.0,True
0.06,9,2467.17,171.33,45.0,11.9,137.06,13.0,14.4,1.0,True
0.03,9,733.33,88.0,22.0,10.56,40.74,12.0,8.33,3.0,True
0.01,3,108.97,34.87,11.0,11.16,6.05,6.0,3.12,1.0,True
0.04,13,812.63,109.39,28.0,14.73,45.15,17.0,7.43,3.0,True
0.02,3,225.85,53.77,15.0,12.8,12.55,5.0,4.2,1.0,True
